location,community,nfmembers,membership,ntfp,murumuru,pataua,palmito,wood,sawmill,farinha,pepper,agriculture,acai,passionf,cocoa,cupuacu,fishing,chicken,crab,shrimp,defeso,bverde,bfamilia,pension,other,total,community
Igarapé-Miri,Meruú,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,Igarapé-Miri
Igarapé-Miri,Meruú,2,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,10560,0,20560,Igarapé-Miri
Igarapé-Miri,Meruú,2,0,0,0,0,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,5600,Igarapé-Miri
Igarapé-Miri,Meruú,4,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,10560,0,19560,Igarapé-Miri
Igarapé-Miri,Meruú,7,0,0,0,0,0,0,0,0,0,0,56800,0,0,0,0,0,0,0,0,0,2160,0,0,58960,Igarapé-Miri
Igarapé-Miri,Meruú,5,0,0,0,0,0,0,0,0,0,0,50886,0,0,0,0,0,0,0,0,0,2184,0,0,53070,Igarapé-Miri
Igarapé-Miri,Meruú,5,0,0,0,0,0,0,0,0,0,0,5440,0,0,0,0,0,0,0,0,0,3432,0,0,8872,Igarapé-Miri
Igarapé-Miri,Meruú,5,0,0,0,0,0,0,0,0,0,0,24640,0,0,0,0,0,0,0,0,0,1440,0,0,26080,Igarapé-Miri
Igarapé-Miri,Meruú,4,0,0,0,0,0,0,0,0,0,0,83200,0,0,0,0,0,0,0,0,0,0,0,0,83200,Igarapé-Miri
Igarapé-Miri,Meruú,4,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,2400,0,12240,15840,Igarapé-Miri
